1,株式会社アイシン,6.18E+12,12,14,21,9.7,4.8,2.8,25,16.2,12.7,100,68.8,26.1,101,有給休暇取得率が100％なので休みが取りやすいと考えられる。,残業時間も最も多く，男女の賃金差も多いことから，長時間勤務による働き辛さが存在している可能性がある。,2024/1/1 0:00,2024/1/1 0:00
2,株式会社アドヴィックス,6.18E+12,,23,20,,5.9,1.4,0,13.8,8.3,100,70.1,,100,有給休暇取得率が100％なので休みが取りやすいと考えられる。,男女の勤続年数の差が大きく，男女の賃金差も多いことから，女性の早期離職が起きている可能性がある。,2024/1/1 0:00,2024/1/1 0:00
3,いすゞ自動車株式会社,5.01E+12,21,,4,31,,3.7,,,,100,81.3,,,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
4,川崎重工業株式会社,1.14E+12,15,15,24,9.5,7.7,2.6,10.8,16,12,100,65.9,22.4,84.1,残業時間は比較的少ない。,男女の勤続年数の差が平均以上に大きく，管理職になるまでの女性の離脱率も平均以上であり，女性の離職率が男性よりも高くなっている可能性がある。,2024/1/1 0:00,2024/1/1 0:00
5,スズキ株式会社,8.08E+12,19,18,27,12,4.3,1.6,2.9,19.3,14,100,64,24,81.4,全体的に平均値以下であり，女性活躍の課題が山積していると考えられる。,男女の賃金差が最も大きく，男女の働き方の差が大きいと考えられる。,2024/1/1 0:00,2024/1/1 0:00
6,ダイハツ工業株式会社,3.12E+12,7,11,8,8.3,5.7,3.2,6.7,19.4,16.2,100,77.5,18,96.9,残業時間が比較的少なく，有給休暇取得率も高い。管理職になるまでの女性の離脱率も低く，男女の賃金差も小さい。,全体的に平均値以上であり，比較的女性が働きやすい環境であると考えられる。,2024/1/1 0:00,2024/1/1 0:00
7,株式会社デンソー,9.18E+12,13,22,22,7,4.7,2,9.5,19,11.5,100,67.3,19.5,95.7,残業時間が比較的少なく，有給休暇取得率も高い。,男女の勤続年数の差が平均以上に大きく，管理職になるまでの女性の離脱率も平均以上であり，男女の賃金差も大きい。,2024/1/1 0:00,2024/1/1 0:00
8,(株) 東海理化電機製作所,5.18E+12,20,6,26,15.9,5,1.9,6.3,18.8,16.8,100,64.2,19.4,90.7,残業時間が比較的少なく，有給休暇取得率も高い。,管理職になるまでの女性の離脱率が高く，男女の賃金差も大きい。,2024/1/1 0:00,2024/1/1 0:00
9,東芝エレベータ株式会社,5.01E+12,18,10,16,8.4,,1.3,,18.9,16,100,72.5,,,男女の勤続年数の差は平均以下。,管理職になるまでの女性の離脱率は平均以上であり，男女の賃金差も平均以上に大きくなっている。,2024/1/1 0:00,2024/1/1 0:00
10,豊田合成株式会社,7.18E+12,17,1,10,18.7,5.2,3.6,15.4,14.8,16.2,100,76.8,14.8,92.4,残業時間が比較的少なく，有給休暇取得率も高い。男女の勤続年数の差も最も小さい。,残業時間が短く，有給休暇取得率が高いにも関わらず管理職になるまでの女性の離脱率が高くなっていることから，労働環境以外に問題がある可能性がある。,2024/1/1 0:00,2024/1/1 0:00
11,トヨタ自動車株式会社,1.18E+12,14,9,23,13,9.1,3.7,12.5,16,13.6,100,66.9,21.8,87.8,残業時間が比較的少なく，有給休暇取得率も高い。,管理職になるまでの女性の離脱率は平均以上であり，男女の賃金差も平均以上に大きくなっている。正社員でも男女の雇用形態に差がある可能性がある。（一般職・総合職など）,2024/1/1 0:00,2024/1/1 0:00
12,トヨタ自動車東日本株式会社,6.02E+12,,7,19,,,2.3,,21.5,18.9,100,70.4,,97,※公開データが少なく考察が難しい。,※公開データが少なく考察が難しい。,2024/1/1 0:00,2024/1/1 0:00
13,株式会社豊田自動織機,3.18E+12,23,4,25,42.2,8.9,2,2.8,18.1,18.3,100,65.2,25.7,97.7,有給休暇取得率が高く，男女の勤続年数の差が小さい。,管理職になるまでの女性の離脱率は平均以上であり，男女の賃金差も平均以上に大きくなっている。正社員でも男女の雇用形態に差がある可能性がある。（一般職・総合職など）,2024/1/1 0:00,2024/1/1 0:00
14,トヨタ車体株式会社,9.18E+12,22,3,15,49.8,3.7,2.4,0,21.1,22,100,73.2,23.8,108.5,残業時間が比較的少なく，有給休暇取得率も高い。,管理職になるまでの女性の離脱率は平均以上であり，男女の賃金差も平均以上に大きくなっている。正社員でも男女の雇用形態に差がある可能性がある。（一般職・総合職など）,2024/1/1 0:00,2024/1/1 0:00
